CARRIER,CONTRACT_TYPE,ELIGIBLE_GROUP,HEADCOUNT,INDUSTRY,PLAN_LEVEL,CATEGORY,SUB_CATEGORY,VALUE
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,SPECIALIST_CONSULTATION,HIGH
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,LAB_TEST,HIGH
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,DIAG_TEST,HIGH
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,HOME_VISIT,UNLIMITED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,PHYSIOTHERAPY,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,DENTAL_TREATMENT,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,DENTAL_SURGERY,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,VACCINATION,INFLUENZA_MORE
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,SPECIALIZED_OUTPATIENT,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,OUTPATIENT_SURGERY,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,INPATIENT,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,BENEFITS_COVERAGE,CHILDBIRTH,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,CANCER_PREVENTION,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,ROUTINE_TESTING,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,HEALTHY_EATING,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,OBESITY_DIABETES_PREVENTION,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,PHYSICAL_ACTIVITY,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,STRESS_MANAGEMENT,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,SMOKING_CESSATION,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,BACK_PAIN_PREVENTION,NOT_INCLUDED
MEDICOVER,INSURANCE,ALL_EMPLOYEES,0-150,RETAIL,BASIC,HEALTH_MANAGEMENT,OTHER_HEALTH_MGMT,NOT_INCLUDED
